"Country","Meeting&Greeting culture","Body Language","Dress Culture","Corporate Culture","Dining& Entertainment Culture","Helpful Hints"
"Argentina","A handshake and nod show respect when greeting someone.
An embrace and one kiss on the cheek is common between friends and acquaintances.","Argentines are touchers and stand close to each other when speaking. Do not back away.

The “O.K.” and “thumbs up” gestures are considered vulgar.

Hitting the palm of the left hand with the right fist means “I don’t believe what you are saying” or “That’s stupid.”","Argentines are extremely fashion conscious. Dress well if you want to make a good impression. Conservative, modest clothing is best.

Women are expected to dress with a flair that does not detract from professionalism.","Personal relationships are important and must be developed before business is done.

Argentines often need several meetings and extensive discussion to make deals.

Decisions are made at the top. Try to arrange meeting with high-level personnel.

Guests at a meeting are greeted and escorted to their chairs. The visiting senior executive is seated opposite the Argentine senior executive.","Meals are for socializing. Refrain from “talking business” unless your Argentine colleague brings it up.

Business dinners are generally held in restaurants. When you are the host, arrange payment ahead of time. If this is not possible, insist on paying when the bill comes.

Don’t use toothpicks, blow your nose or clear your throat at the table.","Don’t be offended by Argentine humor, which may mildly attack your clothing or weight.

Always greet officials before asking them questions.

Don’t compare Argentina with the United States or with Brazil, which is considered a rival.

Avoid talking about Great Britain or the Falkland Islands (Las Malvinas). These are sensitive subjects to many Argentines."
"Australia","Shake hands with everyone present upon meeting and before leaving. Allow women to offer their hands first.
Women generally do not shake hands with other women.
Use titles, Mr., Mrs., and Miss when first introduced.","To beckon a waiter use a quiet hand motion.

When yawning, cover your mouth and excuse yourself.

Winking at women is considered rude.","Australians wear fashions similar those worn by Europeans and North Americans

For business, men should wear conservative jackets and ties. During the summer months, jackets are often removed. Women should wear skirts and blouses or dresses.","Personal relationships are important in the Australian business world. Connections are valued. An introduction by an established representative may be helpful in establishing a relationship with an Australian firm.

Australians take punctuality seriously. If possible, arrive fifteen minutes early for a business meeting.

Australians will quickly get down to business. Communications will be direct, good-humored and to the point.","Always arrive on time or a few minutes early for a dinner.

The person who makes the invitation generally pays the bill in restaurants. However, it isn't unusual for friends to split the bill.

Australians follow continental-style dining etiquette (fork held in the left hand; knife in right).","Stick with standard English, not Aussie terms.

Aussies dislike class distinctions and have a history of ""cutting down the tall poppy."" This grew out of the Australian prisoners' hatred of their British overseers. Many Australian politicians have declined the designation of knighthood for fear of alienating their constituents.

Australians sit in the front seat of a taxi/limousine. A single passenger sitting in the back seat is viewed as ""putting on airs."""
"Austria","Shake hands with everyone present--men, women and children--at a business or social meeting; shake hands with women before men. Women should offer their hand first. Shake hands again when leaving.

Viennese men may kiss the hand of a woman. Accept this tradition graciously. A foreign man should not kiss the hand of an Austrian woman, since it is not expected and may come as a shock.","Austrians are reserved and formal. Kissing, hugging, touching and physical closeness in public are not common.

Eye contact is very important to Austrians.","Austrians take pride in dressing well, regardless of where they are going or what position they hold. Avoid wearing shorts in the city, especially when shopping.","Austrians take punctuality for business meetings very seriously and expect that you will do likewise; call with an explanation if you are delayed. Never cancel an appointment at the last minute.

Light conversation usually precedes business.

Rank and title are very important in business. Po
wer is held by a small number of people at the top.","Austrians insist on punctuality for social occasions.

The host gives the first toast, then the honored guest returns the toast later in the meal. Maintaining eye contact during a toast is very important.

Never cut a dumpling. Instead, hold the dumpling with your knife and break it apart with your fork.","Austrians are not Germans. Austria and Germany have very different customs. Never refer to an Austrian as a German.

Greet salespeople when entering and leaving a shop.

Austrians may find personal compliments embarrassing."
"Belgium","Shake hands with everyone present -- men, women, and children -- at business and social meetings. Shake hands again when leaving.

Repeat your name when being introduced.","It is considered impolite to snap your fingers.

Do not put your hands in your pockets, yawn, scratch or use toothpicks in public.

Feet should never be put on chairs or tables.","Belgians dress conservatively.

For business meetings, men should wear dark suits and ties. Women should wear suits, dresses or skirts and blouses.","Belgians take punctuality for business meetings very seriously. Call with an explanation if you are delayed.
Present your business card upon meeting. Business cards in English are acceptable.

Belgians tend to socialize for a short period of time before they get down to business at meetings.","Business lunches are common; business breakfasts are rare.

To beckon a waiter or waitress raise your hand and make eye contact.

Keep your hands on the table at all times during a meal -- not in your lap. However, keep your elbows off the table.","Avoid discussing personal matters or linguistic divisions with Belgians.

In Belgium, men are expected to rise when a woman enters the room. They also stand on public transportation until women are seated.

Do not flaunt wealth or be noisy or loud in public."
"Bolivia","The customary greeting is a handshake. Shake hands when meeting and departing.

Close male friends may embrace. Female friends embrace and touch cheeks.","Bolivians stand very close when conversing.

You will be viewed as untrustworthy if you do not maintain direct eye contact.

Correct posture while sitting and standing will be noticed. A slumping posture is rude.","Men: In La Paz, a dark, three-piece suit is best. A lightweight suit is more common in Santa Cruz. Follow your Bolivian colleague's lead with regard to wearing ties and removing jackets in the summer.

Women: suits, dresses, skirts and blouses.

Do not wear shorts in cities.","Although punctuality is not a high priority in Bolivia, visitors should be punctual for business meetings. However, meetings rarely start on time.

Take the time to get to know your Bolivian customers and colleagues. Personal relationships are vital to corporate success.

Deadlines are not considered important.","It is impolite to show up on time to a social occasion. Guests are expected to be 15 to 30 minutes late for dinner or parties.

Decline the first offer of food; wait until your host insists.

Never touch food or eat anything with your fingers. Even fruit is eaten with a fruit knife and fork.","Know something about Bolivian sports. It will be appreciated.

Don't talk about poverty, religion, drugs or the United States' drug policy. The United States' military activity in Bolivia is a sore spot with many citizens.

Do not give political opinions on Bolivia."
"Brazil","Take time to greet and say good-bye to each person present.

Women kiss twice -- once on each cheek -- if they are married. Single women add a third kiss.","Physical contact is part of simple communication. 

Touching arms, elbows and backs is very common and acceptable. Brazilians also stand extremely close to one another. Do not back away.

The ""O.K."" sign is considered very rude and vulgar; the ""thumbs up"" gesture is used for approval.","Appearance counts. Your clothing will reflect upon you and your company.

Brazilian women dress ""sexy"" in all situations, whether business, formal or casual. Foreign women who want to blend in should avoid wearing overly formal, conservative attire.

Shoes should be stylish, polished and well-kept. Nails should be manicured.","Your personality and ability to establish strong personal and business relationships is important to the success of your business endeavor.

Brazilians will do anything for friends, hence the expression: ""For friends, everything. For enemies, the law."" Relationships are more important than a legal document in business.

Meetings are conducted at a casual, unhurried pace. Don’t get right down to business. Engage in conversation first.","Always entertain in a prestigious restaurant.

Be prepared for lengthy meals (two hours or more for lunch). Do not discuss business during meals unless your host brings it up. Business may occasionally be discussed at dinner in São Paulo or Rio.

Brazilians always wash their hands before eating and rarely touch food with their hands. Use a knife and fork for everything, even fruit. Always use a napkin while eating or drinking.","Don’t assume that the ""self-made"" businessperson is admired in Brazil. Inherited wealth and a good family background are much more desirable.

Brazilians are extremely casual about time. Being ten to fifteen minutes late in business is normal, and twenty to thirty minutes late is not unusual. Be on time for a formal meeting, but prepare to wait for your Brazilian colleagues.

Soccer (football), family, Brazil’s beautiful beaches and the country’s rapid growth are all appropriate conversation topics. Politics, poverty, religion, Argentina (considered a rival) and the deforestation of Brazil are not. Personal topics such as age, salary and marital or job status are also unacceptable."
"Canada","In general, Canadians are more reserved and polite than Americans, and take matters of etiquette a little more seriously.

Shake hands and introduce yourself when meeting Canadians for the first time. Always shake hands firmly when meeting or departing. Eye contact is important.

When a woman enters or leaves a room, it is polite for men to rise. Men normally offer their hands to women.

In Quebec, kissing on the cheeks in the French manner is quite common. When close friends and family meet in Quebec, they use first names and kiss both cheeks.","Generally speaking, Canadians are more reserved than Americans. Canadians generally don't touch very much when conversing. Maintaining a certain amount of personal space is important.

French Canadians are generally more animated and expressive than other Canadians.

Take off your hat or sunglasses when speaking with someone.","Generally speaking, Canadians dress more conservatively (and more formally when going out) than their American neighbors, although practices vary by region. Dress in Vancouver, for example, is somewhat more casual; in Toronto more British. French Canadians dress in a more relaxed European style than their fellow Canadians.

For business meetings, men should wear suits and ties; women should wear conservative suits or dresses.","Punctuality is demanded for business meetings and social occasions. If a conflict arises, you are expected to let your Canadian counterpart know immediately. That said, Canadians are not as obsessed with time as Americans.

Business cards are commonly exchanged in Canada.
For Quebec, print your business cards in English or French, including your academic degree(s) and/or title. A double-sided business card (one side in English, one side in French) is best.

Canadians get down to business quickly. Meetings are well-organized, and extraneous discussion is kept to a minimum. A premium is placed on time.","To beckon a waiter in Quebec, quietly to say ""Monsieur"" or ""S'il vous plait. Say ""Mademoiselle"" to beckon a waitress. Never beckon a waiter or waitress by snapping your fingers or shouting.

The host normally offers first toast. Wait until everyone is served wine and a toast is proposed before drinking. It is acceptable for women to propose a toast.

Wine is normally served with meals in Quebec.","Do your homework about Canada. Most Americans are appallingly ignorant of Canadian history, culture and geography.

Recognize that important regional differences exist in Canada and prepare to adapt.

When in Quebec, learn a little French; Québécois greatly appreciate it when you take the effort to talk to them in their native language.

Do not compare Canada with the United States."
"Chile","Chileans are very warm and expect visitors to reciprocate. They may be formal at first, but move to friendship very quickly.

A handshake, a warm hug and one kiss on the right cheek are common greetings among friends.

Always greet the head of the household or most senior person first.","Chileans stand closer than North Americans do. Do not back away.

Never click your fingers to or at anyone.
Never beckon with your index finger.

A chin flick means ""I couldn’t care less."" Educated people do not use this gesture.

Hitting the palm of your left hand with your right fist is considered a vulgar gesture.","Appearance is important to Chileans who favor sophisticated European styles. It is important to be neatly and cleanly dressed for all occasions.

Men should wear jackets regardless of where they are or how hot it is. Conservative, dark suits should be worn for business.

Women should wear dresses and suits for business. Bare legs are acceptable with dresses.

Chilean women do not favor overtly sexy clothing.","The business atmosphere in Chile is more formal than in the rest of South America.

Punctuality is generally respected and expected in business. However, be prepared for Chileans to be thirty minutes late.

Chileans don’t like to feel pressured or rushed. Business may be conducted more slowly than in Europe and North America.

Expertise is less important than your personal, family and company background. Family and friendship play a big role in business, and whom one knows is important. Red tape can be minimized considerably if you have the right connections.","Business lunches are usually long and are held in restaurants, hotels or residences.

Correct European-style table manners are vital. It is very important to know which flatware to use. Forks and knives should be used for everything eaten at a table.

Keep both hands above the table at all times, never on your lap.

Don’t lick your fingers or use toothpicks — both are considered vulgar.

Water is not automatically served at the table. If you want water, ask for it.","Do not make comparisons between the United States and Chile.

Show interest in and talk about family, especially children.

Do not talk about politics or human rights, especially as a foreigner, unless your host initiates the discussion.

When smoking, offer a cigarette to everyone. Chileans have a saying for those who neglect to share: ""Did you learn to smoke in jail?"""
"China","Shake hands upon meeting. Chinese may nod or bow instead of shaking hands, although shaking hands has become increasingly common.

When introduced to a Chinese group, they may greet you with applause. Applaud back.

Senior persons begin greetings. Greet the oldest, most senior person before others. During group introductions, line up according to seniority with the senior person at the head of the line.","The Chinese dislike being touched by strangers. Do not touch, hug, lock arms, back slap or make any body contact.

Clicking fingers or whistling is considered very rude.
Never put your feet on a desk or a chair. Never gesture or pass an object with your feet.

Blowing one's nose in a handkerchief and returning it to one's pocket is considered vulgar by the Chinese.

To beckon a Chinese person, face the palm of your hand downward and move your fingers in a scratching motion. Never use your index finger to beckon anyone.","Conservative, simple, unpretentious, modest clothing should be worn -- nothing flashy or overly fashionable.

Women should avoid bare backs, shorts, low-cut tops and excessive jewelry.

For business, men should wear sport coats and ties. Slacks and open-necked shirts are generally suitable in the summer for business meetings; jackets and ties are not necessary.

Women should wear dresses or pantsuits for business and should avoid heavy make-up and dangling, gaudy jewelry.","Punctuality is important for foreign businesspeople. 
Being late is rude. Meetings always begin on time.

Business cards are exchanged upon meeting. Business cards should be printed in English on one side and Chinese on the other.

Make sure the Chinese side uses ""simplified"" characters and not ""classical"" characters, which are used in Taiwan and Hong Kong.

English is not spoken in business meetings, although some Chinese may understand English without making it known. Hire an interpreter or ask for one to be provided.

Be prepared for long meetings and lengthy negotiations (often ten days straight) with many delays.","Dining is used to probe positions without any formal commitment. Business is generally not discussed during meals. Meals are a vehicle for indirect business references.

The Chinese are superb hosts. Twelve-course banquets with frequent toasts are a Chinese trademark.

The Chinese sponsoring organization generally hosts a welcoming banquet. Foreign guests should reciprocate toward the end of their visits. Invite everyone with whom you have dealt.

Always arrive exactly on time for a banquet. Never arrive early for dinner. This implies that you are hungry and might cause you to lose face.","Chinese find ""no"" difficult to say. They may say ""maybe"" or ""we'll see"" in order to save face.

Always refer to China as ""China"" or ""People's Republic of China,"" never as ""Red China,"" ""Communist China"" or ""Mainland China.""

Always refer to Taiwan as ""Taiwan"" or ""Province of Taiwan,"" never ""China,"" ""Republic of China"" (the name adapted by the Nationalist forces after they fled to Taiwan) or ""Free China.""

Do not in any way suggest that Taiwan is not part of China."
"Colombia","Shake hands with everyone when entering or leaving a room.","Smiling is very important.

Never put your feet on furniture in a hotel, office or home.

Yawning is impolite and viewed as a sign of hunger or sleepiness. Always cover your mouth when yawning.

It is considered demeaning to beckon someone with your index finger. Instead, beckon with your palm down, waving your fingers or your whole hand.","Colombians pay a lot of attention to appearance and clothing. Dress conservatively and be well groomed.

Shoes are the first thing people notice. Colombians do not wear tennis shoes unless they are playing tennis, jogging, etc.

For business, men should wear dark suits, white shirts and ties in the cities. In warmer areas, dress is less formal. Women should wear dresses and suits. Wear comfortable cotton in warmer areas.","Colombians want to know you personally before they do business with you. You must develop a relationship with your counterparts before they will consider you trustworthy.

Always allow your Colombian counterparts to bring up the subject of business. Be aware that this may take awhile. Meetings may be slow, with quiet, deliberate discussions.

Follow up a meeting by sending a letter summarizing the main points and what was agreed upon.

It may take several trips to complete a business transaction. Colombians prefer to do business in person -- one can only get “so far” by phone and fax.","Time and punctuality are not stressed. Colombians will typically arrive up to thirty minutes late for social engagements. A 10:00 p.m. party will often begin a half-hour to one hour late.

Working breakfasts are common, and business lunches and dinners are popular. Plan on spending at least two or three hours at either.","Don't offer your opinions about local politics or religion.

Be prudent when you talk about drugs. Colombia is working with the United States' government in the war against drugs, but U.S. foreign policy is not viewed positively by many Colombians.

If you are invited to a bullfight, do not decline. Tickets for good seats are very expensive.

Do not be offended if you are called a “gringo.” Colombians use this term to refer to people from the United States, and it is not meant to be insulting."
