Country,Section,Detail
Argentina,Meeting and Greeting,A handshake and nod show respect when greeting someone.
Argentina,Meeting and Greeting,"An embrace and one kiss on the cheek is common between friends 
              and acquaintances."
Argentina,Body Language,"Argentines are touchers and stand close to each other when 
              speaking. Do not back away."
Argentina,Body Language,The “O.K.” and “thumbs up” gestures are considered vulgar.
Argentina,Body Language,"Hitting the palm of the left hand with the right fist means “I 
              don’t believe what you are saying” or “That’s stupid.”"
Argentina,Corporate Culture,"Personal relationships are important and must be developed 
              before business is done."
Argentina,Corporate Culture,"Argentines often need several meetings and extensive 
              discussion to make deals."
Argentina,Corporate Culture,"Decisions are made at the top. Try to arrange meeting with 
              high-level personnel."
Argentina,Corporate Culture,"Guests at a meeting are greeted and escorted to their chairs. 
              The visiting senior executive is seated opposite the Argentine 
              senior executive."
Argentina,Corporate Culture,"During business meetings, sustain a relaxed manner, maintain 
              eye contact and restrict the use of gestures. Don’t take a hard 
              sell approach."
Argentina,Corporate Culture,"Be prepared for a certain amount of small talk before getting 
              down to business."
Argentina,Corporate Culture,"Argentines are tough negotiators. Concessions will not come 
              quickly or easily. Good relationships with counterparts will 
              shorten negotiations."
Argentina,Corporate Culture,"Contracts are lengthy and detailed. A contract is not final 
              until all of its elements are signed. Any portion can be 
              re-negotiated. Get everything in writing."
Argentina,Corporate Culture,"An Argentine contact is essential to wading through government 
              bureaucracy."
Argentina,Corporate Culture,"Be punctual for business appointments, but prepare to wait 
              thirty minutes for your counterpart, especially if you are meeting 
              an important person."
Argentina,Corporate Culture,"The pace of business in Argentina is slower than in the United 
              States. A meeting that is going well could last much longer than 
              intended, even if it means postponing the next engagement."
Argentina,Corporate Culture,"Make appointments through a high-level person. Your Argentine 
              contact can help with this."
Argentina,Corporate Culture,Confirm meetings one week in advance.
Argentina,Dining and Entertainment,"Meals are for socializing. Refrain from “talking business” 
              unless your Argentine colleague brings it up."
Argentina,Dining and Entertainment,"Business dinners are generally held in restaurants. When you 
              are the host, arrange payment ahead of time. If this is not 
              possible, insist on paying when the bill comes."
Argentina,Dining and Entertainment,"Don’t use toothpicks, blow your nose or clear your throat at 
              the table."
Argentina,Dining and Entertainment,"To summon a waiter, raise your hand with your index finger 
              extended."
Argentina,Dining and Entertainment,"Do not order imported liquor unless your host does. Taxes are 
              exorbitant."
Argentina,Dining and Entertainment,"Avoid pouring wine, which is a complex ritual in Argentina."
Argentina,Dining and Entertainment,"For social events, arrive thirty to sixty minutes late. 
              Arriving at a party on time is impolite."
Argentina,Dining and Entertainment,"Be on time for lunch appointments, the theater and soccer."
Argentina,Dress,"Argentines are extremely fashion conscious. Dress well if you 
              want to make a good impression. Conservative, modest clothing is 
              best."
Argentina,Dress,"Women are expected to dress with a flair that does not detract 
              from professionalism."
Argentina,Gifts,"Do not give personal items, including clothing."
Argentina,Gifts,"When presented with a gift, open it at once and be 
              appreciative."
Argentina,Gifts,"Bring flowers, candy, pastries, chocolates or imported liquor 
              when invited to someone’s home."
Argentina,Gifts,"Business gifts are not expected until a fairly close 
              relationship has been formed."
Argentina,Gifts,"High-quality gifts are appreciated, but very expensive gifts 
              may be interpreted as bribes."
Argentina,Helpful Hints,"Don’t be offended by Argentine humor, which may mildly attack 
              your clothing or weight."
Argentina,Helpful Hints,Always greet officials before asking them questions.
Argentina,Helpful Hints,"Don’t compare Argentina with the United States or with Brazil, 
              which is considered a rival."
Argentina,Helpful Hints,"Avoid talking about Great Britain or the Falkland Islands (Las 
              Malvinas). These are sensitive subjects to many Argentines."
Argentina,Helpful Hints,"Be careful when discussing the Perón years. People either love 
              or hate the Peróns."
Argentina,Helpful Hints,"Although Argentines may be very vocal about politics and 
              religion, avoid adding your opinions to these discussions."
Argentina,Especially for Women,"While machismo persists in Argentina, it is being challenged and 
            women are gaining visibility and influence in politics and business. 
            Argentine businesswomen are similar in status to North American 
            businesswomen."
Argentina,Especially for Women,A kiss or a hug is considered a compliment to a woman.
Argentina,Especially for Women,"Piropos - flirtatious comments - are common. Men may call out 
              ""Hey, gorgeous!"" while you’re walking down the street. Just smile, 
              say, ""Thank you very much"" and keep walking."
Argentina,Especially for Women,"Defensive behavior will damage your credibility. Emphasize 
              status and responsibility."
Argentina,Especially for Women,
Argentina,Especially for Women,
Argentina,Especially for Women,^Back to Top
Australia,Meeting and Greeting,"Shake hands with everyone present upon meeting and before 
              leaving. Allow women to offer their hands first."
Australia,Meeting and Greeting,Women generally do not shake hands with other women.
Australia,Meeting and Greeting,"Use titles, Mr., Mrs., and Miss when first introduced."
Australia,Meeting and Greeting,"Australians generally move to a first-name basis quickly. 
              Still, wait to use first names until invited to do so."
Australia,Meeting and Greeting,Academic or job-related titles are downplayed.
Australia,Body Language,To beckon a waiter use a quiet hand motion.
Australia,Body Language,"When yawning, cover your mouth and excuse yourself."
Australia,Body Language,Winking at women is considered rude.
Australia,Body Language,"The ""V"" sign (made with index and middle fingers, palm facing 
              inward) is a very vulgar gesture. The ""thumbs up"" gesture is also 
              considered obscene."
Australia,Corporate Culture,"Personal relationships are important in the Australian 
              business world. Connections are valued. An introduction by an 
              established representative may be helpful in establishing a 
              relationship with an Australian firm."
Australia,Corporate Culture,"Australians take punctuality seriously. If possible, arrive 
              fifteen minutes early for a business meeting."
Australia,Corporate Culture,"Australians will quickly get down to business. Communications 
              will be direct, good-humored and to the point."
Australia,Corporate Culture,"Australian businesspeople tend to be pragmatic, efficient and 
              profit-oriented. They appreciate straight-forward, open 
              presentations."
Australia,Corporate Culture,"Australians dislike one-upmanship. Don’t overplay 
              qualifications, rank or titles."
Australia,Corporate Culture,"Negotiations proceed quickly. Bargaining is not customary. 
              Proposals should be presented with acceptable terms. Leave some 
              allowance for some give and take."
Australia,Corporate Culture,"Australians will often negotiate major issues without 
              over-emphasis on details. However, contracts are generally 
              detailed and firm."
Australia,Dining and Entertainment,Always arrive on time or a few minutes early for a dinner.
Australia,Dining and Entertainment,"The person who makes the invitation generally pays the bill in 
              restaurants. However, it isn't unusual for friends to split the 
              bill."
Australia,Dining and Entertainment,"Australians follow continental-style dining etiquette (fork 
              held in the left hand; knife in right)."
Australia,Dining and Entertainment,"Barbecues -- very informal ""cook outs"" -- are popular in 
              Australia. Sometimes guests bring their own meat or other items."
Australia,Dining and Entertainment,The guest of honor is generally seated to the right of host.
Australia,Dining and Entertainment,"Soup should be eaten by moving the spoon away from you, not 
              toward you."
