Country,Section,Detail
Argentina,The People,"Argentines are very proud of their country and culture. They are 
            well-educated and sophisticated and like to be viewed as 
            cosmopolitan and progressive. Because 85% of Argentina’s population 
            hails from Italy, Spain, Austria, France, Germany, Great Britain, 
            Portugal, Russia, Switzerland, Poland and the Middle East, 
            Argentines tend to identify with Europeans. It has been said that 
            Argentines are a nation of Italians who speak Spanish and think 
            they’re British living in Paris. Predominantly Catholic (93%), 
            families are highly valued and hold conservative values."
Argentina,The People,Meeting and Greeting
Argentina,The People,A handshake and nod show respect when greeting someone.
Argentina,The People,"An embrace and one kiss on the cheek is common between friends 
              and acquaintances."
Argentina,The People,Body Language
Argentina,The People,"Argentines are touchers and stand close to each other when 
              speaking. Do not back away."
Argentina,The People,The “O.K.” and “thumbs up” gestures are considered vulgar.
Argentina,The People,"Hitting the palm of the left hand with the right fist means “I 
              don’t believe what you are saying” or “That’s stupid.”"
Argentina,The People,Corporate Culture
Argentina,The People,"Personal relationships are important and must be developed 
              before business is done."
Argentina,The People,"Argentines often need several meetings and extensive 
              discussion to make deals."
Argentina,The People,"Decisions are made at the top. Try to arrange meeting with 
              high-level personnel."
Argentina,The People,"Guests at a meeting are greeted and escorted to their chairs. 
              The visiting senior executive is seated opposite the Argentine 
              senior executive."
Argentina,The People,"During business meetings, sustain a relaxed manner, maintain 
              eye contact and restrict the use of gestures. Don’t take a hard 
              sell approach."
Argentina,The People,"Be prepared for a certain amount of small talk before getting 
              down to business."
Argentina,The People,"Argentines are tough negotiators. Concessions will not come 
              quickly or easily. Good relationships with counterparts will 
              shorten negotiations."
Argentina,The People,"Contracts are lengthy and detailed. A contract is not final 
              until all of its elements are signed. Any portion can be 
              re-negotiated. Get everything in writing."
Argentina,The People,"An Argentine contact is essential to wading through government 
              bureaucracy."
Argentina,The People,"Be punctual for business appointments, but prepare to wait 
              thirty minutes for your counterpart, especially if you are meeting 
              an important person."
Argentina,The People,"The pace of business in Argentina is slower than in the United 
              States. A meeting that is going well could last much longer than 
              intended, even if it means postponing the next engagement."
Argentina,The People,"Make appointments through a high-level person. Your Argentine 
              contact can help with this."
Argentina,The People,Confirm meetings one week in advance.
Argentina,The People,Dining and Entertainment
Argentina,The People,"Meals are for socializing. Refrain from “talking business” 
              unless your Argentine colleague brings it up."
Argentina,The People,"Business dinners are generally held in restaurants. When you 
              are the host, arrange payment ahead of time. If this is not 
              possible, insist on paying when the bill comes."
Argentina,The People,"Don’t use toothpicks, blow your nose or clear your throat at 
              the table."
Argentina,The People,"To summon a waiter, raise your hand with your index finger 
              extended."
Argentina,The People,"Do not order imported liquor unless your host does. Taxes are 
              exorbitant."
Argentina,The People,"Avoid pouring wine, which is a complex ritual in Argentina."
Argentina,The People,"For social events, arrive thirty to sixty minutes late. 
              Arriving at a party on time is impolite."
Argentina,The People,"Be on time for lunch appointments, the theater and soccer."
Argentina,The People,Dress
Argentina,The People,"Argentines are extremely fashion conscious. Dress well if you 
              want to make a good impression. Conservative, modest clothing is 
              best."
Argentina,The People,"Women are expected to dress with a flair that does not detract 
              from professionalism."
Argentina,The People,Gifts
Argentina,The People,"Do not give personal items, including clothing."
Argentina,The People,"When presented with a gift, open it at once and be 
              appreciative."
Argentina,The People,"Bring flowers, candy, pastries, chocolates or imported liquor 
              when invited to someone’s home."
Argentina,The People,"Business gifts are not expected until a fairly close 
              relationship has been formed."
Argentina,The People,"High-quality gifts are appreciated, but very expensive gifts 
              may be interpreted as bribes."
Argentina,The People,Helpful Hints
Argentina,The People,"Don’t be offended by Argentine humor, which may mildly attack 
              your clothing or weight."
Argentina,The People,Always greet officials before asking them questions.
Argentina,The People,"Don’t compare Argentina with the United States or with Brazil, 
              which is considered a rival."
Argentina,The People,"Avoid talking about Great Britain or the Falkland Islands (Las 
              Malvinas). These are sensitive subjects to many Argentines."
Argentina,The People,"Be careful when discussing the Perón years. People either love 
              or hate the Peróns."
Argentina,The People,"Although Argentines may be very vocal about politics and 
              religion, avoid adding your opinions to these discussions."
Argentina,The People,Especially for Women
