,Country,Section,Detail
0,Argentina,The People,"Argentines are very proud of their country and culture. They are 
            well-educated and sophisticated and like to be viewed as 
            cosmopolitan and progressive. Because 85% of Argentina’s population 
            hails from Italy, Spain, Austria, France, Germany, Great Britain, 
            Portugal, Russia, Switzerland, Poland and the Middle East, 
            Argentines tend to identify with Europeans. It has been said that 
            Argentines are a nation of Italians who speak Spanish and think 
            they’re British living in Paris. Predominantly Catholic (93%), 
            families are highly valued and hold conservative values."
273,Australia,The People,"Home to nearly five million immigrants from 160 countries, 
            Australia is rich in cultural diversity. Australians, or ""Aussies,"" 
            enjoy an easy-going lifestyle and are generally friendly and 
            relaxed. Modesty and equality are valued."
499,Austria,The People,"Austrians are proud of their contributions to world civilization. 
            They see themselves as modern, liberal and cultured. Austrians have 
            a great love for the outdoors (i.e., walking, skiing, climbing, 
            etc.). Although predominantly Catholic (89%), traditional family 
            values have been weakened by modern life and government legislation. 
            The rate of women working outside the home is one of the highest in 
            the industrialized world."
734,Belgium,The People,"Belgium is comprised of two primary cultural groups. The 
            Dutch-speaking Flemings live in Flanders, in the north, and make up 
            55% of the population. The French-speaking Walloons live in 
            Wallonia, in the south, and make up 33% of the population. Hard work 
            and an appreciation for culture are important values to Belgians, 
            who think of themselves as Europeans first, Walloons or Flemings 
            second, and Belgians third. Strong family systems are vital to 
            Belgian society. Extended families live in separate homes, but often 
            settle in or near the town where they were raised."
1049,Bolivia,The People,"Bolivians are very proud of being one of the few countries that 
            have successfully promoted multicultural integration. Vice President 
            Víctor Hugo Cárdenas, elected in 1993, was the first indigenous 
            person elected to this high office in South America. Bolivians are 
            kind, gentle people, who are concerned for each other's welfare. 
            Friendship is a very important value. The family is the central unit 
            in the social system. Education is valued, but still not achievable 
            for all people. Although it is legally compulsory for ages six to 
            14, fewer than half of all children finish primary education."
1279,Brazil,The People,"Brazilians are friendly and free-spirited, with an incredible 
            zest for life. They are very risk-oriented and very creative. 
            Predominantly Roman Catholic (73%), families are large and often 
            include extended family members. Family, educational and 
            socioeconomic backgrounds are important to Brazilians."
1574,Canada,The People,"The vast majority of Canadians claim European ancestry. Four in 
            nine Canadians claim some British ancestry and a little less than 
            one in three have some French ancestry. Eighty percent of the 
            residents in Quebec have French ancestry. Eighty percent of native 
            French speakers live in Quebec (the others are mostly in New 
            Brunswick, and parts of Ontario and Manitoba). Other European groups 
            include Italians, Germans and Ukrainians (especially in the prairie 
            states)."
1891,Chile,The People,"Chileans are very nationalistic and are proud of their country, 
            as well as of their literacy -- the 95% rate puts them among the 
            best educated in the world. Predominantly Roman Catholic (89%), 
            family is the primary structure of society. The father is still 
            considered the head of the family, but the mother is an important 
            decision-maker. People are judged by their educational and family 
            backgrounds, not by race."
2200,China,The People,"Deeply rooted in Chinese society is the need to belong and 
            conform to a unit, whether the family, a political party or an 
            organization. The family is the focus of life for most Chinese. Age 
            and rank are highly respected. However, to the dismay of older 
            people, today's young people are rapidly modernizing, wearing blue 
            jeans and sunglasses, drinking Coke and driving motorbikes."
2771,Colombia,The People,"Colombia has one of the most successful economies in South 
            America, despite adverse conditions and a very unequal distribution 
            of wealth. A small number of Colombians hold most of the country's 
            wealth and political power, but the middle and working classes are 
            growing in Colombia's cities. Colombians are hardworking and peace 
            loving. Politeness, proper behavior, good manners and courtesy are 
            valued. Colombians are very proud of their democracy and 
            independence. They do not like or want outside interference and want 
            to address internal challenges on their own."
2981,Denmark,The People,"Danes are respected for their accomplishments in science, art, 
            literature and architecture. They value tolerance and diversity. The 
            individual is also highly regarded in Danish culture. Danes are very 
            proud of their excellent educational system. Although the Danes 
            value close and stable family lives, they have one of the highest 
            divorce rates in Europe. Most women work outside the home."
3192,Ecuador,The People,"Ecuadorians are hospitable and warmly welcoming of visitors. They 
            revere older people and honor experience and authority. Superiors, 
            parents and teachers are greatly respected. Ecuador is one of the 
            most racially divided countries of South America. Whites (Blancos) 
            are better off economically and educationally than the rest of the 
            population. Mestizos are usually middle class. Native Ecuadorians 
            (Indios) are considered lower class, and many live in poverty, are 
            illiterate and often don't speak Spanish. Blacks have overcome many 
            stereotypes."
3388,Finland,The People,"Loyalty, reliability, self-sufficiency and independence are 
            highly valued. Finns are proud of their heritage and current society 
            (they are leaders in peace conferences and international peace 
            initiatives). They enjoy nature and proudly protect their 
            environment, which is one of the cleanest in the world. Finns value 
            their privacy and appreciate others respecting it."
