,Country,Section,Detail,Unnamed: 0
0,Argentina,Meeting and Greeting,A handshake and nod show respect when greeting someone.,
1,Argentina,Meeting and Greeting,"An embrace and one kiss on the cheek is common between friends 
              and acquaintances.",
2,Argentina,Meeting and Greeting,Body Language,
3,Argentina,Meeting and Greeting,"Argentines are touchers and stand close to each other when 
              speaking. Do not back away.",
4,Argentina,Meeting and Greeting,The “O.K.” and “thumbs up” gestures are considered vulgar.,
5,Argentina,Meeting and Greeting,"Hitting the palm of the left hand with the right fist means “I 
              don’t believe what you are saying” or “That’s stupid.”",
6,Argentina,Meeting and Greeting,Corporate Culture,
7,Argentina,Meeting and Greeting,"Personal relationships are important and must be developed 
              before business is done.",
8,Argentina,Meeting and Greeting,"Argentines often need several meetings and extensive 
              discussion to make deals.",
9,Argentina,Meeting and Greeting,"Decisions are made at the top. Try to arrange meeting with 
              high-level personnel.",
10,Argentina,Meeting and Greeting,"Guests at a meeting are greeted and escorted to their chairs. 
              The visiting senior executive is seated opposite the Argentine 
              senior executive.",
11,Argentina,Meeting and Greeting,"During business meetings, sustain a relaxed manner, maintain 
              eye contact and restrict the use of gestures. Don’t take a hard 
              sell approach.",
12,Argentina,Meeting and Greeting,"Be prepared for a certain amount of small talk before getting 
              down to business.",
13,Argentina,Meeting and Greeting,"Argentines are tough negotiators. Concessions will not come 
              quickly or easily. Good relationships with counterparts will 
              shorten negotiations.",
14,Argentina,Meeting and Greeting,"Contracts are lengthy and detailed. A contract is not final 
              until all of its elements are signed. Any portion can be 
              re-negotiated. Get everything in writing.",
15,Argentina,Meeting and Greeting,"An Argentine contact is essential to wading through government 
              bureaucracy.",
16,Argentina,Meeting and Greeting,"Be punctual for business appointments, but prepare to wait 
              thirty minutes for your counterpart, especially if you are meeting 
              an important person.",
17,Argentina,Meeting and Greeting,"The pace of business in Argentina is slower than in the United 
              States. A meeting that is going well could last much longer than 
              intended, even if it means postponing the next engagement.",
18,Argentina,Meeting and Greeting,"Make appointments through a high-level person. Your Argentine 
              contact can help with this.",
19,Argentina,Meeting and Greeting,Confirm meetings one week in advance.,
20,Argentina,Meeting and Greeting,Dining and Entertainment,
21,Argentina,Meeting and Greeting,"Meals are for socializing. Refrain from “talking business” 
              unless your Argentine colleague brings it up.",
22,Argentina,Meeting and Greeting,"Business dinners are generally held in restaurants. When you 
              are the host, arrange payment ahead of time. If this is not 
              possible, insist on paying when the bill comes.",
23,Argentina,Meeting and Greeting,"Don’t use toothpicks, blow your nose or clear your throat at 
              the table.",
24,Argentina,Meeting and Greeting,"To summon a waiter, raise your hand with your index finger 
              extended.",
25,Argentina,Meeting and Greeting,"Do not order imported liquor unless your host does. Taxes are 
              exorbitant.",
26,Argentina,Meeting and Greeting,"Avoid pouring wine, which is a complex ritual in Argentina.",
27,Argentina,Meeting and Greeting,"For social events, arrive thirty to sixty minutes late. 
              Arriving at a party on time is impolite.",
28,Argentina,Meeting and Greeting,"Be on time for lunch appointments, the theater and soccer.",
29,Argentina,Meeting and Greeting,Dress,
30,Argentina,Meeting and Greeting,"Argentines are extremely fashion conscious. Dress well if you 
              want to make a good impression. Conservative, modest clothing is 
              best.",
31,Argentina,Meeting and Greeting,"Women are expected to dress with a flair that does not detract 
              from professionalism.",
32,Argentina,Meeting and Greeting,Gifts,
33,Argentina,Meeting and Greeting,"Do not give personal items, including clothing.",
34,Argentina,Meeting and Greeting,"When presented with a gift, open it at once and be 
              appreciative.",
35,Argentina,Meeting and Greeting,"Bring flowers, candy, pastries, chocolates or imported liquor 
              when invited to someone’s home.",
36,Argentina,Meeting and Greeting,"Business gifts are not expected until a fairly close 
              relationship has been formed.",
37,Argentina,Meeting and Greeting,"High-quality gifts are appreciated, but very expensive gifts 
              may be interpreted as bribes.",
38,Argentina,Meeting and Greeting,Helpful Hints,
39,Argentina,Meeting and Greeting,"Don’t be offended by Argentine humor, which may mildly attack 
              your clothing or weight.",
40,Argentina,Meeting and Greeting,Always greet officials before asking them questions.,
41,Argentina,Meeting and Greeting,"Don’t compare Argentina with the United States or with Brazil, 
              which is considered a rival.",
42,Argentina,Meeting and Greeting,"Avoid talking about Great Britain or the Falkland Islands (Las 
              Malvinas). These are sensitive subjects to many Argentines.",
43,Argentina,Meeting and Greeting,"Be careful when discussing the Perón years. People either love 
              or hate the Peróns.",
44,Argentina,Meeting and Greeting,"Although Argentines may be very vocal about politics and 
              religion, avoid adding your opinions to these discussions.",
45,Argentina,Meeting and Greeting,Especially for Women,
46,Argentina,Meeting and Greeting,"While machismo persists in Argentina, it is being challenged and 
            women are gaining visibility and influence in politics and business. 
            Argentine businesswomen are similar in status to North American 
            businesswomen.",
47,Argentina,Meeting and Greeting,A kiss or a hug is considered a compliment to a woman.,
48,Argentina,Meeting and Greeting,"Piropos - flirtatious comments - are common. Men may call out 
              ""Hey, gorgeous!"" while you’re walking down the street. Just smile, 
              say, ""Thank you very much"" and keep walking.",
49,Argentina,Meeting and Greeting,"Defensive behavior will damage your credibility. Emphasize 
              status and responsibility.",
221,Australia,Meeting and Greeting,"Shake hands with everyone present upon meeting and before 
              leaving. Allow women to offer their hands first.",
222,Australia,Meeting and Greeting,Women generally do not shake hands with other women.,
223,Australia,Meeting and Greeting,"Use titles, Mr., Mrs., and Miss when first introduced.",
224,Australia,Meeting and Greeting,"Australians generally move to a first-name basis quickly. 
              Still, wait to use first names until invited to do so.",
225,Australia,Meeting and Greeting,Academic or job-related titles are downplayed.,
227,Australia,Meeting and Greeting,To beckon a waiter use a quiet hand motion.,
228,Australia,Meeting and Greeting,"When yawning, cover your mouth and excuse yourself.",
229,Australia,Meeting and Greeting,Winking at women is considered rude.,
230,Australia,Meeting and Greeting,"The ""V"" sign (made with index and middle fingers, palm facing 
              inward) is a very vulgar gesture. The ""thumbs up"" gesture is also 
              considered obscene.",
232,Australia,Meeting and Greeting,"Personal relationships are important in the Australian 
              business world. Connections are valued. An introduction by an 
              established representative may be helpful in establishing a 
              relationship with an Australian firm.",
233,Australia,Meeting and Greeting,"Australians take punctuality seriously. If possible, arrive 
              fifteen minutes early for a business meeting.",
234,Australia,Meeting and Greeting,"Australians will quickly get down to business. Communications 
              will be direct, good-humored and to the point.",
235,Australia,Meeting and Greeting,"Australian businesspeople tend to be pragmatic, efficient and 
              profit-oriented. They appreciate straight-forward, open 
              presentations.",
236,Australia,Meeting and Greeting,"Australians dislike one-upmanship. Don’t overplay 
              qualifications, rank or titles.",
237,Australia,Meeting and Greeting,"Negotiations proceed quickly. Bargaining is not customary. 
              Proposals should be presented with acceptable terms. Leave some 
              allowance for some give and take.",
238,Australia,Meeting and Greeting,"Australians will often negotiate major issues without 
              over-emphasis on details. However, contracts are generally 
              detailed and firm.",
240,Australia,Meeting and Greeting,Always arrive on time or a few minutes early for a dinner.,
241,Australia,Meeting and Greeting,"The person who makes the invitation generally pays the bill in 
              restaurants. However, it isn't unusual for friends to split the 
              bill.",
242,Australia,Meeting and Greeting,"Australians follow continental-style dining etiquette (fork 
              held in the left hand; knife in right).",
243,Australia,Meeting and Greeting,"Barbecues -- very informal ""cook outs"" -- are popular in 
              Australia. Sometimes guests bring their own meat or other items.",
244,Australia,Meeting and Greeting,The guest of honor is generally seated to the right of host.,
245,Australia,Meeting and Greeting,"Soup should be eaten by moving the spoon away from you, not 
              toward you.",
246,Australia,Meeting and Greeting,"Lay knife/fork parallel on plate at 5:25 position when 
              finished eating.",
247,Australia,Meeting and Greeting,Keep your hands above the table and elbows off the table.,
248,Australia,Meeting and Greeting,"Offer to help with meal preparation and clean-up when being 
              entertained in a home.",
249,Australia,Meeting and Greeting,"Do not say ""I'm stuffed"" after a meal. This means you are 
              pregnant.",
251,Australia,Meeting and Greeting,"Australians wear fashions similar those worn by Europeans and 
              North Americans",
252,Australia,Meeting and Greeting,"For business, men should wear conservative jackets and ties. 
              During the summer months, jackets are often removed. Women should 
              wear skirts and blouses or dresses.",
254,Australia,Meeting and Greeting,"It is not customary to exchange business gifts during initial 
              meetings.",
255,Australia,Meeting and Greeting,"When invited to an Australian’s home, bring a small gift 
              (flowers, chocolates, or books about your home country or region) 
              for your hosts.",
256,Australia,Meeting and Greeting,"Australia produces excellent wine. Taking wine would be like 
              taking sand to the desert.",
258,Australia,Meeting and Greeting,"Stick with standard English, not Aussie terms.",
259,Australia,Meeting and Greeting,"Aussies dislike class distinctions and have a history of 
              ""cutting down the tall poppy."" This grew out of the Australian 
              prisoners' hatred of their British overseers. Many Australian 
              politicians have declined the designation of knighthood for fear 
              of alienating their constituents.",
260,Australia,Meeting and Greeting,"Australians sit in the front seat of a taxi/limousine. A 
              single passenger sitting in the back seat is viewed as ""putting on 
              airs.""",
261,Australia,Meeting and Greeting,"Australians respect people with strong opinions, even if they 
              don't agree.",
262,Australia,Meeting and Greeting,"Avoid discussions about the treatment of the aboriginal 
              people.",
